mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
200696;8;1;1;0;-34,64194;-71,36531
201139;1;0;0;0;-33,4579089;-70,6230082
201245;9;1;1;1;-35,8425628;-71,5965294
202325;5;0;0;0;-33,0462539;-71,4452578
202745;3;0;1;0;-36,6217833;-72,1344811
203030;9;0;1;1;-40,5557951;-73,1574064
203560;4;1;1;0;-35,5248328;-71,6926485
203978;9;0;0;1;-32,7848428;-71,5277932
204779;1;1;0;0;-33,6199916;-70,6050349
205420;9;0;0;1;-33,5898728;-70,7069501
205854;7;0;1;0;-38,6062722;-72,8374015
207519;3;1;0;1;-36,8301986;-73,0361246
207520;11;1;1;0;-33,0381104;-71,5927922
207856;11;0;1;1;-33,5128816;-70,7796909
208101;1;1;1;0;-41,4492465;-72,932029
208636;11;1;1;0;-18,4964391;-70,3044383
209854;9;0;1;0;-33,4037504;-71,1353641
210276;1;0;0;0;-18,4778694;-70,292702
210397;1;1;0;0;-36,8506155;-73,0487539
210949;9;1;1;0;-33,0165014;-71,5386236
211461;9;1;0;0;-33,503506;-70,6472641
211573;6;1;0;1;-33,3773762;-70,5453415
211673;6;1;0;1;-33,6200749;-70,8042622
211757;4;1;0;1;-33,4589389;-70,5883586
212318;1;0;1;0;-33,4689817;-70,7115133
212723;4;0;1;0;-33,4448393;-70,7445944
212925;8;1;1;1;-33,4346052;-70,6517661
212974;1;0;0;0;-41,4729349;-72,9385886
213223;1;0;0;0;-23,6399584;-70,3972345
213512;3;0;0;1;-36,8515753;-73,1408345
214870;1;1;1;0;-33,5568502;-70,6670832
215014;9;0;1;0;-34,9843349;-71,2449614
215655;2;0;1;0;-33,0444483;-71,5911942
215953;3;0;0;0;-35,4247626;-71,6659285
216010;9;1;0;0;-37,4954595;-72,5199156
216449;1;0;0;0;-33,4341175;-70,6082301
216627;8;1;0;0;-33,0392378;-71,3675505
217141;9;0;1;0;-38,7420079;-72,9503971
217460;7;1;1;0;-33,3868274;-70,6598398
217474;9;0;1;0;-33,5102052;-70,7556871
218026;9;0;1;0;-33,5576102;-70,5768153
219003;9;0;1;0;-33,5197466;-70,6015595
219066;9;0;1;0;-33,631524;-71,612875
220084;9;1;1;1;-38,7651195;-72,7394826
220506;9;1;0;0;-33,5988656;-70,6786507
220840;9;1;1;1;-29,9567094;-71,2517858
221123;9;0;0;0;-32,8016901;-70,90791
221741;1;0;1;0;-32,4518322;-71,2321047
221866;9;0;1;0;-33,5593645;-70,6085311
222404;9;0;0;1;-34,9634677;-71,2371408
222729;9;1;1;0;-32,7873284;-71,1987992
223140;1;1;0;0;-38,7341007;-72,6450892
224490;1;0;0;0;-34,1511782;-70,7046863
224623;7;1;1;0;-40,3320454;-72,9446677
224742;1;1;1;0;-41,8939316;-73,7713883
225195;12;1;0;0;-34,1667834;-70,727225
225595;1;0;1;0;-38,7665088;-72,7486551
225634;1;0;0;0;-33,5599457;-70,6030175
226459;1;0;1;0;-33,0547735;-71,5795971
226974;9;1;1;0;-28,5735364;-70,7635605
227181;9;0;0;0;-33,4483237;-70,6386854
227311;9;0;0;0;-38,7639641;-72,7677084
227546;2;0;1;0;-33,4685354;-70,5572219
229071;3;1;1;1;-33,585199;-70,578196
229089;9;1;1;0;-38,7649247;-72,6010094
229298;9;1;1;1;-42,3805493;-73,6484944
229415;2;0;1;0;-36,6171028;-72,9568153
229810;9;1;0;0;-32,84274;-70,5827794
229865;10;1;1;1;-38,8532472;-71,6964692
229871;8;1;0;0;-30,6036467;-71,1969894
230235;5;0;1;0;-33,4873177;-70,6550819
230841;1;1;1;0;-33,0312291;-71,4824517
231030;9;0;0;0;-33,3279001;-70,769312
231555;4;0;1;0;-35,5238573;-71,689592
231968;5;1;0;0;-33,5775003;-70,826741
232493;1;1;1;0;-34,583354;-70,9868583
232587;8;1;0;0;-36,9191385;-73,0326157
232830;9;1;0;0;-20,2698348;-70,1023491
232902;9;1;1;1;-30,6061468;-71,1893366
234014;2;1;0;0;-33,4548224;-70,5963768
235935;7;0;0;0;-36,6187627;-72,9517659
236461;1;1;1;0;-29,9017741;-71,2507532
236562;9;0;1;0;-30,4228663;-71,183736
238607;10;0;0;0;-41,3230461;-72,991012
239159;9;0;0;0;-29,9525497;-71,2889167
240115;1;0;1;0;-33,5666027;-70,6654751
240474;7;0;1;0;-37,8075888;-72,6982453
241248;7;1;0;0;-33,3551587;-70,752254
242168;7;0;1;0;-33,048151;-71,441565
242257;11;1;1;0;-33,0862172;-70,9308803
242837;11;0;0;0;-33,6140223;-70,5498433
243201;6;0;1;0;-33,5156079;-70,7733783
243511;9;0;0;1;-33,5620069;-70,587621
244136;11;1;1;1;-20,2689824;-70,0997319
245202;5;0;1;0;-32,9220788;-71,5143694
245217;9;0;1;1;-33,4478269;-70,6348982
245255;9;0;1;0;-33,3957036;-70,6984751
245483;9;1;1;1;-33,3769789;-71,6740012
245740;9;0;1;0;-33,5102544;-70,7531013
246356;4;1;0;0;-41,3105826;-72,9958714
246442;5;1;1;0;-39,7930463;-73,2045106
246647;9;0;0;0;-34,161237;-70,7098862
247237;3;1;1;0;-35,845047;-71,5845076
247809;10;0;0;1;-38,7192611;-72,6164861
248397;0;1;1;0;-37,4817099;-72,3310252
248505;5;1;0;0;-33,4862465;-70,772599
249535;1;0;0;0;-33,4894751;-70,7269196
250155;0;1;0;0;-32,7418313;-70,712024
250914;1;1;1;0;-36,9551145;-73,0139643
251113;8;1;0;1;-32,8533434;-70,6257383
251557;9;0;0;0;-33,585948;-70,6313594
251796;11;0;0;1;-35,3421268;-72,4361874
252066;4;1;1;0;-35,426666;-71,66362
252347;1;0;1;0;-41,4597751;-72,9551394
253040;9;1;1;1;-40,765587;-72,6280243
253041;9;1;1;1;-28,5653494;-70,7761426
253216;9;1;1;0;-41,4803018;-72,9613326
253344;9;1;1;0;-35,4266955;-71,663029
253618;1;0;1;0;-33,3578076;-70,7523894
255353;1;1;0;0;-41,4757323;-72,910465
256480;11;1;1;1;-27,3769451;-70,3097765
256917;9;0;1;0;-33,5707145;-70,5565817
256977;9;1;1;0;-33,4028626;-70,7356586
257049;5;1;1;0;-33,5527773;-70,6458324
257834;1;1;0;0;-23,6379147;-70,3958518
258057;11;1;0;0;-35,0608606;-71,2628993
258951;11;1;1;0;-33,5946786;-70,5801748
259064;4;0;0;1;-20,2929591;-70,1057653
259554;1;0;0;0;-33,4587054;-70,7122312
259936;4;1;0;1;-32,4377907;-71,0707715
259977;9;0;0;1;-33,0776684;-71,4224864
260843;9;0;1;0;-39,8236117;-73,2477022
261428;8;0;0;0;-33,5023334;-70,7844888
261465;9;0;1;0;-40,4645882;-72,9795918
263559;4;0;0;1;-33,5713641;-70,7971105
263669;1;0;1;0;-29,9223408;-71,2113985
264492;1;1;0;0;-34,5830124;-70,9886688
264592;9;1;1;0;-33,509818;-70,7564724
265091;7;0;1;0;-34,8683943;-71,1619874
265443;9;0;0;0;-41,4678735;-72,9939852
266070;3;0;1;0;-33,4113962;-70,6310973
266890;11;1;1;0;-41,3855374;-72,8970049
267265;7;1;1;1;-33,4839803;-70,5857273
267718;7;1;0;0;-35,424108;-71,6640777
268185;9;0;1;1;-34,980248;-71,2538734
269258;3;1;1;1;-45,5863044;-72,0380265
269774;9;0;0;0;-33,5548031;-70,6937941
269848;11;0;0;1;-40,3331494;-72,9541527
271350;1;1;1;0;-34,1843287;-70,6867655
271445;9;1;0;1;-33,5282141;-70,6372768
271634;3;0;0;0;-33,5017923;-70,5896081
272041;5;1;0;1;-33,503302;-70,7292248
272362;5;0;1;0;-33,4728776;-70,5871749
272819;1;1;1;0;-33,2303066;-70,8071304
272901;2;0;1;0;-33,089985;-70,9297898
273023;1;0;1;0;-33,5469911;-70,7881184
273250;5;0;1;0;-33,5846891;-70,6322268
273349;1;0;1;0;-33,4392607;-70,7706186
273524;9;1;1;0;-33,4576475;-70,5303191
274355;6;0;1;0;-41,4935672;-73,0010403
275027;11;1;1;0;-38,7714925;-72,7495214
275209;0;0;0;0;-29,9051026;-71,2405824
275355;11;1;0;0;-33,5234252;-70,5765312
275520;5;1;0;1;-33,5910879;-70,5393337
276309;7;0;1;0;-33,4467021;-70,6356537
277596;9;0;0;1;-33,0465436;-71,622623
278041;1;0;0;0;-33,7513674;-70,9046587
278077;2;1;1;0;-34,9463876;-71,120541
278299;10;1;0;0;-33,5122769;-70,5802962
278618;1;0;0;0;-33,6216842;-71,6060969
278708;5;0;1;0;-33,5432891;-70,6439482
278847;4;0;1;0;-33,5067181;-70,6135312
