mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
261835;285;311000000133
262031;7627;331000000123
262181;11883;131000000133
262298;4728;211000000133
262639;1369;211000000133
264640;3540;131000000133
265069;2448;131000000133
266938;22516;231000000133
267419;4140;371071005133
267630;10324;501000000131
268969;10240;711000000131
269034; ; 
270147;4709;131000000133
270225;4160;131000000133
271252;7872;111000000133
271540;9808;501000000132
271970;45;711000000113
272212;521;711000000133
272402;25766;501000000132
272590;31068;131000000133
273135;4728;711000000133
274057;2116;111000000131
274508;18234;501000000133
275148;399;231000000133
276065;2250;501000000131
277040;16644;231000000233
277114;493;611000000133
277708;7977;311000000133
277778;14788;411000000133
278154;5570;431000000133
278223;16460;711000000133
278286;1191;511000000133
278299;9150;131000000133
278352;1292;111000000131
278521;40343;131000000133
278893;31116;231000000133
279240;40343;511000000133
279268;16467;111000000133
279640;20042;401000000132
279902;10830;131000000113
280104;7391;311000000133
280168; ; 
280186;17689;311000000131
280499;9834;111000000133
280537; ; 
280705;3815;501000000133
280721;12255;711000000131
282248;14856;331000000133
282479;1384;211000000133
282485;9599;131000000133
282605;13168;131000000133
283570;4287;171072007133
283941;16843;131000000133
284268;6113;231000000133
284360;12878;611000000131
284636;4262;231000000131
285020;3173;401000000131
285337;2948;411000000131
285395; ; 
285574;10405;131000000133
285804;12810;111000000133
286101;4667;311000000133
286734;25644;131000000133
287193;2283;131000000133
287258;2611;501000000131
287481;6752;131000000133
287494;1895;351052009133
287523;1975;811000000133
287615;125;231000000133
287651;5658;131000000131
287798;10320;501000000132
288399;8003;111000000133
289072;1681;461064001113
289138;14237;711000000133
289670;16713;411000000133
289769;40409;111000000133
290000;5578;111000000132
291028;18147;311000000233
291309;1465;501000000133
291324;2458;311000000133
291674;4408;811000000133
291870;17838;131000000133
292216;10272;401000000132
292268;1524;311000000133
292506;9953;501000000132
293038;4574;811000000113
293053;5224;501000000133
293174;9289;111000000133
293602;7629;131000000133
293963;10721;111000000133
294243;1748;501000000131
294280;14778;331000000133
294285;1329;401000000133
294407;22210;611000000133
294733;24878;501000000132
294892;26257;401000000132
295032;616;211000000133
295312;4633;311000000132
296100;7352;511000000133
297030;10107;401000000131
297961;8498;111000000133
297962;2026;111000000133
298074;14671;811000000133
298470;25220;111000000133
298705;1502;131000000133
299302;2948;511000000131
300097;4553;131000000112
300167;4176;311000000112
300704;2870;501000000133
300936;10075;131000000133
301171;24622;111000000132
301172;297;211000000131
301408;1504;131000000131
301435;10547;401000000121
301465;298;501000000133
301739;7626;231000000133
301944;10567;111000000132
302027;10401;401000000132
302161;8003;311000000133
302667;22531;211000000133
303480;15646;711000000133
303781;3723;611000000133
303794;1860;811000000231
303979;10571;111000000131
303980;10502;111000000123
305124;4262;111000000131
305347;7348;111000000133
305660;5578;501000000132
305766;22505;811000000133
305990;4594;111000000131
306313;10757;401000000132
306395;312;501000000132
306493;6711;501000000131
306790;9472;131000000133
307718;13163;511000000133
308387;1887;501000000133
308785;971;311000000113
308872;1663;131000000131
308873;9896;131000000133
309144;40459;611000000133
309148;293;511000000133
309233;20567;111000000131
309590;10092;111000000131
310587;9890;501000000131
311473;229;311000000133
312200;8490;131000000133
313480;24302;111000000131
313882;4195;611000000133
314101;14336;361061003133
314261;10086;111000000131
314347;6397;501000000131
315661;523;501000000133
316003;3305;351052009133
316251;20265;711000000133
316553;3305;131000000133
316753;11532;411000000133
317361;14373;111000000131
317636;14775;231000000133
317986;375;411000000131
318349;13220;131000000131
318943;31193;501000000131
319138; ; 
319684;4615;611000000131
320104;16417;351053015133
320748;2943;131000000133
320894;2948;501000000131
321292;1335;231000000133
321307;2981;501000000131
321531;2734;711000000133
321718;3865;431000000131
321799;9060;711000000133
322531;4571;501000000131
322647;19;401000000133
323239;10117;401000000131
323382;1436;431000000133
323860;4181;501000000131
324058;7631;811000000133
324237;1720;501000000133
324916;31087;411000000133
325068;12655;111000000133
325397;25303;401000000132
325534;8506;131000000131
326848;10729;111000000133
327463;228;111000000133
328027;31290;111000000133
328313;5652;111000000113
328424;4715;131000000133
329287;7321;211000000133
330377;5580;511000000133
330412;12242;131000000133
331721;375;411000000131
332347;10419;131000000133
332794;25070;711000000132
334936;1517;501000000131
335935;1275;501000000131
336112;4270;131000000133
336181;15601;611000000131
336311;8109;131000000133
336387;5282;331000000133
336394;40014;811000000133
336793;9337;711000000131
337305;26249;501000000131
337755;7801;311000000133
338003;448;131000000133
338241;10324;501000000131
338518;25061;501000000131
338522;20186;401000000132
338801;9285;711000000131
338921;5440;711000000133
339232;7878;111000000133
339381;1599;311000000132
340138;22535;811000000133
340235;3723;501000000133
340257;13586;111000000131
340428;4700;351051009133
340799;9610;501000000131
340877;297;111000000131
341076;4140;431000000133
341547;22113;231000000133
342725;1873;501000000131
342790;4173;711000000131
343353;2052;211000000131
343516;6188;501000000231
343874;13216;211000000133
344145;4737;501000000132
344746;13559;211000000133
344792;1367;111000000133
345037;13163;311000000133
345066;24946;501000000132
345900;14490;111000000132
345922;16564;811000000133
346421;7325;231000000133
346839;8501;131000000133
347840;10547;111000000121
348353;5680;501000000132
348360;7970;411000000133
348371;1909;231000000131
349512;13104;411000000133
349987;6922;341041005133
350829;7628;331000000113
350967;15614;811000000133
351097;6643;231000000133
351368;30012;211000000133
351574;4579;111000000133
351842;610;131000000131
352032;9208;501000000131
352169;5578;811000000131
352728;5717;511000000133
352912;8349;711000000133
353052;13163;511000000133
353280;5654;431000000133
355337;2087;711000000133
356165;12610;231000000133
356211;6895;611000000133
356226;24685;111000000133
356774;14381;501000000131
357037;1635;411000000133
357569;10331;501000000131
357991;9992;111000000133
358368;10404;501000000131
358714;1909;311000000231
358930;1757;131000000133
360186;5666;431000000131
360260;9489;131000000133
360343;40042;811000000133
360663;1842;711000000131
361559;4641;411000000132
362674;7129;131000000133
364175;2329;331000000133
364258;16564;611000000133
364540;1435;111000000133
364659;4287;171072007133
365202;6932;611000000133
366138;12761;111000000132
366151;2091;311000000133
366350;1699;711000000133
366471;7541;711000000133
366755;285;711000000133
367507;22494;231000000133
367876;4628;611000000131
369393;6113;351052010133
369586;14788;401000000132
370252;5566;131000000133
370751;9144;501000000131
370752;9937;501000000111
370981;10239;501000000131
371780; ; 
371840;2102;131000000113
371875;4446;611000000133
372646;2339;131000000133
373319;1688;711000000131
373374;15662;401000000132
373717;7470;171072007133
374342;10350;111000000113
374552;10832;111000000133
375098;390;611000000133
375254;123;501000000131
375970;18090;611000000133
376026;1213;131000000133
376379;3640;231000000132
376739; ; 
376756;3538;431000000133
376825;8487;711000000112
377145;25005;501000000133
377160;6323;311000000133
378174;270;111000000133
378506;2124;511000000133
378993;1194;431000000133
379808;12033;131000000131
380444;10359;401000000131
381046;418;611000000233
381320;5580;111000000133
381713;15526;311000000133
382713;7682;111000000133
382752;2956;311000000133
383428;9862;131000000133
383432;22027;131000000133
383815;130;111000000132
384205;16600;711000000133
384604;406;311000000133
385125;17605;331000000133
385415;14673;501000000133
385505;11608;331000000133
385662;1987;811000000132
385831;11838;401000000131
386432;26324;111000000131
388549;7898;501000000133
388887;1213;311000000233
388933;8495;131000000133
388963;3008;211000000131
388992;3335;111000000133
389398;6088;501000000131
389423;97;131000000133
389780; ; 
389894;403;511000000131
390281;4715;131000000133
390443;418;411000000233
390467;25300;111000000131
390567;7349;501000000133
390737;2164;231000000131
390952;11155;131000000133
391721;618;111000000133
392324;2378;131000000133
392371;2134;131000000133
393061;10338;111000000132
393209;4288;131000000133
394288;129;111000000132
394541;4588;501000000132
394648;9077;131000000133
394839;1593;411000000133
395232;2162;311000000132
395380;10546;111000000112
395405;3305;351053014133
395924;20489;611000000131
396147;1125;111000000133
396502;40298;211000000131
396716;5592;511000000133
396941;11224;211000000131
397879;16844;351052010133
398207;10324;501000000131
398587;25041;501000000133
398718;10721;111000000133
398964;2007;501000000131
399139;3395;111000000133
400245;2207;411000000133
400625;10474;501000000131
401190;433;211000000131
402003;2457;501000000131
402026;2206;231000000133
402155;1525;711000000131
402201;18234;501000000133
402395;1996;131000000133
402960;2007;501000000131
403600;20159;331000000133
403955;31128;131000000133
405578; ; 
406493;9834;131000000133
407130;4564;211000000131
407989;2934;231000000133
408343;11716;131000000133
408505;2793;131000000131
408688;13590;501000000133
408985;18111;501000000132
408986;10497;501000000133
409844;17915;111000000133
410509;14237;611000000133
410804;326;401000000132
411393;22535;131000000133
411814;10768;501000000132
413017;4714;501000000111
413950;25779;401000000233
414804;24987;711000000133
414960;52;111000000133
416237;2292;501000000131
416277;25386;111000000131
416278;268;111000000133
416625;12591;331000000133
416750;5580;401000000132
417163;10461;501000000133
418349;1842;111000000132
418740;2136;611000000133
418870;1751;811000000131
419432;5827;401000000131
419547;239;111000000133
419567;2018;131000000133
419750;2294;501000000133
420376;13552;511000000133
420393;16716;711000000133
420464;2946;211000000133
421115;1685;501000000133
421116;2182;501000000132
421552;26012;111000000133
421774;11706;311000000133
421943;12935;131000000133
421946;11805;711000000133
423421;26244;111000000131
424840;20136;131000000133
425872;9142;111000000132
425932;14397;211000000133
426109;9985;131000000133
426158;5315;131000000133
426867;9781;131000000133
427866;11870;501000000132
428106;1389;611000000133
428199;10143;501000000133
428288;17895;501000000131
429431;22505;711000000133
430218;8700;111000000132
430265;5466;111000000133
430386;9060;711000000133
430445; ; 
430847;24978;111000000131
431075;14672;411000000132
431280;1958;231000000133
431512;1553;501000000131
432137;10564;111000000112
432369;285;211000000133
433234;22756;111000000131
433897;4722;501000000133
434028;22339;501000000131
434222;10727;131000000133
434365;22566;111000000133
434774;31190;111000000132
434792;25171;131000000131
435854;399;131000000133
436296;5589;111000000133
436385;20041;501000000133
436562;25171;131000000131
436633;31500;501000000131
436915;6090;401000000133
436934;448;131000000133
436980;24685;131000000133
437011;2444;131000000133
437160;40422;501000000133
437422;11994;711000000133
437768;10742;501000000132
437962;10546;501000000112
438337;20085;111000000131
438507;229;411000000133
438538;16676;501000000133
438539;10592;501000000132
438554;24203;811000000133
439559;5020;111000000132
439603;8422;501000000111
439927;24812;131000000123
440021;2121;111000000112
440591;9583;131000000133
441185;2412;401000000133
441254;10396;131000000133
441579;10548;501000000113
441699;25032;111000000133
441721;19925;131000000133
441802;1316;131000000133
442731;11155;811000000133
442762;3744;511000000133
443564;3434;131000000133
445168;25059;111000000232
445521;12691;401000000132
445831;5654;331000000133
447075;10638;111000000133
447350;4262;811000000131
448348;4565;411000000133
448632;2166;431000000131
449162;8487;711000000112
449567;11265;131000000133
450067;25737;501000000131
450925;15770;501000000133
451072;1369;711000000133
451979;16446;231000000133
452205;4997;501000000133
453249;3387;131000000133
453567;1437;131000000113
