id_colegio,internado,politica_uniforme,orientacion_religiosa,alumnos_matriculados,alumnos_prom_curso,genero,actividades_extra,apoyo_academico,deportes,idioma,infraestructura,programas
573,0,1,5,712,39,1,4,3,3,2,10,8
574,0,0,5,1098,39,3,4,7,7,2,9,8
575,1,1,5,815,37,2,3,4,1,2,9,9
578,0,1,1,350,26,1,4,6,2,2,8,7
579,0,1,5,1283,42,1,6,8,6,2,10,9
583,0,1,5,1128,40,1,4,6,4,2,10,8
589,0,1,1,346,28,1,4,4,6,2,6,7
597,0,1,1,371,26,1,7,7,6,2,8,7
598,0,0,1,35,5,1,0,1,2,0,5,4
599,0,1,1,132,13,1,4,3,3,2,7,7
602,0,1,1,173,17,1,7,5,4,2,6,7
604,0,1,1,31,5,1,3,4,5,1,4,5
606,0,1,1,23,3,1,1,2,1,2,4,6
608,0,1,1,25,4,1,1,2,1,2,1,4
609,0,1,1,793,33,1,1,5,4,1,8,8
610,0,0,1,420,24,1,3,6,6,1,8,8
611,0,1,1,299,24,1,7,6,6,1,10,8
612,0,1,1,309,30,1,4,7,3,2,9,6
614,0,1,1,355,35,1,2,6,3,1,9,7
615,0,1,1,316,31,1,5,8,4,1,7,8
616,0,1,1,657,31,1,4,8,4,2,5,6
617,0,1,1,226,22,1,1,6,4,1,7,5
618,0,1,1,628,31,1,4,8,6,1,8,7
620,0,1,1,540,31,1,4,6,3,1,8,8
621,0,1,1,252,25,1,5,7,7,1,6,7
625,0,1,1,203,20,1,1,4,5,1,3,3
626,0,1,1,766,36,1,7,7,5,1,8,7
628,0,1,1,262,26,1,2,6,3,1,8,8
629,0,1,1,753,34,1,2,6,3,2,3,7
630,0,1,1,365,33,1,3,5,6,1,6,6
631,0,1,1,410,41,1,7,8,6,1,7,5
632,0,1,1,404,36,1,3,7,6,1,6,6
634,0,1,1,47,7,1,0,5,2,1,3,2
635,0,1,1,17,2,1,0,2,2,1,2,4
637,0,1,1,266,26,1,1,7,6,1,5,7
638,0,0,1,3,1,1,0,1,2,0,1,3
639,0,1,1,97,12,1,1,5,6,1,8,8
641,0,1,1,47,7,1,1,5,4,1,2,3
642,0,1,1,144,24,1,1,6,3,1,4,2
643,0,0,1,144,18,1,3,6,5,1,4,5
644,0,1,1,43,5,1,3,1,1,1,5,3
645,0,1,1,9,2,1,2,4,2,1,5,5
646,0,1,1,1881,34,1,4,7,7,2,8,7
647,0,1,1,510,42,1,5,6,7,2,8,7
648,0,1,5,1117,39,1,3,7,6,2,10,8
649,0,1,1,1519,37,1,7,7,7,2,7,7
650,0,1,7,384,38,1,5,7,3,1,9,8
655,0,1,1,428,30,1,6,5,2,1,7,8
656,0,1,1,273,22,1,5,5,6,1,8,6
657,0,1,1,204,20,1,3,6,5,1,8,5
658,0,1,1,259,25,1,3,6,6,2,7,7
659,0,0,1,11,2,1,3,4,1,0,4,5
661,0,1,1,26,4,1,1,3,1,1,3,2
662,0,1,1,12,2,1,2,4,3,1,1,3
664,0,1,5,952,34,1,6,4,3,2,6,7
665,1,1,1,507,24,1,8,5,6,1,7,8
666,0,1,1,288,24,1,8,7,8,1,9,8
668,0,1,1,491,30,1,8,7,9,2,8,8
669,0,1,1,157,15,1,5,6,8,2,9,6
671,0,1,1,116,11,1,5,5,7,2,7,7
672,0,1,1,162,16,1,5,6,6,2,8,7
673,0,0,1,176,12,1,3,7,2,2,7,7
674,0,0,1,5,1,1,2,1,3,1,1,5
676,0,1,1,7,2,1,1,2,1,0,3,3
678,0,1,1,34,4,1,2,4,2,1,8,6
680,0,1,1,66,6,1,3,4,8,1,6,6
681,0,1,1,23,3,1,1,4,2,1,3,3
682,0,1,1,131,13,1,1,5,9,1,7,8
683,0,1,1,13,2,1,1,3,1,2,4,3
686,0,1,1,63,7,1,4,4,3,1,7,5
687,0,1,1,3,1,1,4,1,4,1,6,4
688,0,0,1,24,4,1,2,4,2,1,4,2
689,0,1,1,9,1,1,4,4,1,1,7,5
690,0,1,1,908,34,1,7,7,7,2,8,7
691,0,1,1,185,18,1,0,6,2,1,3,3
692,0,1,1,182,18,1,4,4,2,1,4,2
693,0,1,1,11,2,1,0,3,1,2,5,4
694,0,1,1,129,11,1,4,5,3,1,6,5
