mrun;cod_nivel;rbd;cod_curso;preferencia_postulante;agregada_por_continuidad;prioridad_matriculado;prioridad_hermano;prioridad_hijo_funcionario;prioridad_exalumno;loteria_original
295407;1;130;11100032;1;0;0;0;0;0;25
295407;1;12515;11100031;2;0;0;0;0;0;80
296823;7;2116;71100033;3;0;0;0;0;0;7
296823;7;2129;71100031;1;0;0;0;0;0;6
296823;7;2159;71100032;2;0;0;0;0;0;4
296823;7;2262;71100033;4;1;1;0;0;0; 
310740;1;2153;11100031;1;0;0;0;0;0;12
310740;1;15650;11100032;2;0;0;0;0;0;27
313721;9;7772;13100033;1;0;0;0;0;0;14
313721;9;7776;13100033;2;0;0;0;0;0;5
321140;-1;521;40100033;5;0;0;0;0;0;2
321140;-1;522;40100013;2;0;0;0;0;0;34
321140;-1;13303;40100032;3;0;0;0;0;0;9
321140;-1;31194;40100032;4;0;0;0;0;0;4
321140;-1;40298;40100032;1;0;0;0;0;0;12
322048;9;516;13100033;3;0;0;0;0;0;11
322048;9;518;13100013;1;0;0;0;0;0;25
322048;9;530;13100033;2;0;0;0;0;0;31
322048;9;535;13100033;4;0;0;0;0;0;23
330836;6;8434;61100033;2;0;0;0;0;0;2
330836;6;8435;61100033;3;0;0;0;0;0;1
330836;6;8458;61100033;1;0;0;0;0;0;6
333633;7;517;71100033;2;0;0;0;0;0;20
333633;7;40194;71100033;1;0;0;0;0;0;16
333988;9;2283;13100033;4;0;0;0;0;0;3
333988;9;2406;13100033;3;0;0;0;0;0;11
333988;9;2422;13100033;1;0;0;0;0;0;11
333988;9;2486;13100033;2;0;0;0;0;0;4
338211;1;2487;11100031;3;0;0;0;0;0;1
338211;1;15755;11100031;2;0;0;0;0;0;5
338211;1;15807;11100033;1;0;0;1;0;0;2
339678;9;7651;13100033;1;0;0;0;0;1;11
339678;9;22027;13100033;2;0;0;0;0;0;5
341935;1;706;11100033;1;0;0;1;0;0;38
341935;1;710;11100033;2;0;0;0;0;0;5
345043;0;2151;50100031;1;0;0;0;0;0;12
345043;0;40006;50100032;2;0;0;0;0;0;1
347305;0;13512;50100033;2;0;1;0;0;1;1
347305;0;13606;50100032;1;0;0;0;0;0;2
347790;-1;2115;40100031;1;0;0;0;0;0;7
347790;-1;2124;40100031;3;0;0;0;0;0;4
347790;-1;15726;40100031;2;0;0;0;0;0;4
348453;1;130;11100032;1;0;0;0;0;0;42
348453;1;12761;11100032;2;0;0;0;0;0;17
349020;-1;8434;40100033;1;0;0;0;0;0;7
349020;-1;24313;40100032;2;0;0;0;0;0;13
351255;0;2183;50100031;2;0;0;0;0;0;2
351255;0;15792;50100031;1;0;0;0;0;0;1
359085;4;8433;41100033;1;0;0;0;0;0;8
359085;4;8444;41100033;2;0;0;0;0;0;2
359085;4;8448;41100033;3;0;0;0;0;0;1
363560;1;2409;11100031;1;0;0;0;0;1;2
364582;9;516;13100033;1;0;0;0;0;0;31
364582;9;530;13100033;3;0;0;0;0;0;30
364582;9;578;13100033;2;0;0;0;0;0;18
364582;9;774;13100033;4;1;1;0;0;0; 
365232;-1;114;40100031;5;0;0;0;0;0;5
365232;-1;117;40100031;4;0;0;0;0;0;8
365232;-1;125;40100033;3;0;0;0;0;0;10
365232;-1;12594;40100031;2;0;0;0;0;0;14
365232;-1;40295;40100031;1;0;0;0;0;0;1
365765;11;8424;34101133;2;0;0;0;0;0;3
365765;11;8442;33100033;1;0;0;0;0;0;3
375904;9;8427;13100033;1;0;0;0;0;0;14
375904;9;8429;13100033;2;0;0;0;0;0;50
378691;9;2444;13100033;3;0;0;0;0;0;57
378691;9;2530;13100033;2;0;0;0;0;0;19
378691;9;2551;13100031;1;0;0;0;0;0;36
378947;-1;2457;40100031;1;0;0;0;0;0;17
378947;-1;15779;40100031;2;0;0;0;0;0;8
379785;9;2444;13100033;2;0;0;0;0;0;52
379785;9;15720;13100033;1;0;0;0;0;0;36
380065;-1;2414;40100033;2;0;0;0;0;0;2
380065;-1;2415;40100031;3;0;0;0;0;0;4
380065;-1;2420;40100031;1;0;0;0;0;0;4
384375;1;617;11100033;2;0;0;0;0;1;7
384375;1;646;11100032;3;0;0;0;0;0;61
384375;1;13626;11100033;4;0;0;0;0;0;21
384375;1;40189;11100032;1;0;0;0;0;0;5
384934;1;2262;11100031;1;0;0;0;0;0;1
384934;1;2264;11100033;4;0;0;0;0;0;1
384934;1;2265;11100033;3;0;0;0;0;0;1
384934;1;15809;11100033;2;0;0;0;0;0;2
390140;-1;2126;40100031;2;0;0;0;0;0;3
390140;-1;2171;40100031;1;0;0;1;0;0;9
393774;-1;22009;40100033;2;0;0;0;0;0;20
393774;-1;22249;40100031;1;0;0;0;0;0;20
393774;-1;40257;40100031;3;0;0;0;0;0;12
393774;-1;40343;40100031;4;0;0;0;0;0;7
396615;-1;8435;40100033;2;0;0;0;0;0;10
396615;-1;8441;40100033;1;0;0;0;0;0;5
398365;9;2123;13100033;1;0;0;0;0;0;117
398365;9;2134;13100033;3;0;0;0;0;0;100
398365;9;15840;13100033;2;0;0;0;0;0;7
398741;7;530;71100033;1;0;0;0;0;0;3
398741;7;597;71100033;3;1;1;0;0;0; 
398741;7;13576;71100033;2;0;0;0;0;0;2
405849;-1;2461;40100032;1;0;0;0;0;0;2
405849;-1;15779;40100031;2;0;0;0;0;0;3
415250;0;2160;50100031;3;0;0;0;0;0;1
415250;0;15595;50100031;1;0;0;0;0;0;6
415250;0;15750;50100031;2;0;0;0;0;0;1
415291;1;13504;11100033;2;0;0;0;0;0;33
415291;1;40298;11100032;1;0;0;0;0;0;61
417693;0;13586;50100032;1;0;0;1;0;0;29
417693;0;20407;50100031;2;0;0;0;0;0;8
430382;7;7348;71100033;5;1;1;0;0;0; 
430382;7;7638;71100033;4;0;0;0;0;0;4
430382;7;7659;71100033;1;0;0;0;0;0;2
430382;7;22418;71100033;2;0;0;0;0;0;5
430382;7;22480;71100033;3;0;0;0;1;0;1
431316;9;7625;13100033;3;0;0;0;0;0;26
431316;9;7626;13100033;2;0;0;0;0;0;111
431316;9;7907;13100033;4;0;0;0;0;0;5
431316;9;22494;13100033;1;0;0;0;0;0;100
434423;1;12747;11100033;2;0;0;0;0;0;5
434423;1;40422;11100033;1;0;0;1;0;0;13
436906;9;107;13100033;2;0;0;0;0;0;2
436906;9;129;13100031;1;0;0;0;0;0;19
437813;0;539;50100031;1;0;0;0;0;0;2
437813;0;40298;50100032;2;0;0;0;0;0;44
439683;-1;2412;40100033;3;0;0;0;0;0;5
439683;-1;2413;40100031;1;0;0;1;0;0;7
439683;-1;2417;40100031;2;0;0;0;0;0;3
440827;0;7631;50100032;3;0;0;0;0;0;2
440827;0;22249;50100031;1;0;0;0;0;0;1
440827;0;22434;50100032;2;0;0;0;0;0;1
448748;0;7850;50100031;1;0;0;0;0;0;1
449604;1;8019;11100033;1;0;0;0;0;0;2
449804;-1;7507;40100033;1;0;0;0;0;0;2
449804;-1;7508;40100033;3;0;0;0;0;0;4
449804;-1;7531;40100033;5;0;0;0;0;0;2
449804;-1;20410;40100031;2;0;0;0;0;0;3
449804;-1;22322;40100033;4;0;0;0;0;0;9
452687;-1;7706;40100031;1;0;0;0;0;0;3
452687;-1;7706;40100032;2;0;0;0;0;0;9
452687;-1;16923;40100031;6;0;0;0;0;0;4
452687;-1;16923;40100032;5;0;0;0;0;0;6
452687;-1;22692;40100031;3;0;0;0;0;0;13
452687;-1;22692;40100032;4;0;0;0;0;0;1
452687;-1;40343;40100031;7;0;0;0;0;0;28
455708;0;8475;50100031;1;0;0;1;0;0;3
455708;0;16895;50100031;2;0;0;0;0;0;5
456375;9;2422;13100033;2;0;0;0;0;0;7
456375;9;15544;13100033;3;0;0;0;0;0;3
456375;9;15731;13100033;1;0;0;0;0;0;14
456672;9;2339;13100033;1;0;0;0;0;1;3
456672;9;15596;13100033;2;0;0;0;0;0;21
463365;9;2205;13100033;2;0;0;0;0;0;27
463365;9;15646;13100033;1;0;0;0;0;0;62
467074;0;22173;50100031;1;0;0;0;0;0;8
467074;0;22535;50100033;3;0;0;0;0;0;2
467074;0;22697;50100031;2;0;0;0;0;0;1
476947;-1;7337;40100033;2;0;0;1;0;0;11
476947;-1;7340;40100031;3;0;0;0;0;0;15
476947;-1;22608;40100032;1;0;0;0;0;0;5
477487;9;2123;13100033;2;0;0;0;0;0;34
477487;9;15646;13100033;1;0;0;0;0;0;56
479951;-1;710;40100033;1;0;0;1;0;0;15
479951;-1;711;40100033;2;0;0;0;0;0;8
481788;9;7626;13100033;4;0;0;0;0;0;2
481788;9;7628;13100013;3;0;0;0;0;0;5
481788;9;22027;13100033;2;0;0;0;0;0;7
481788;9;22494;13100033;1;0;0;0;0;0;31
487091;9;12591;13100033;1;0;0;0;0;0;8
487091;9;12762;13100031;2;0;0;0;0;0;4
492709;1;130;11100032;2;0;0;0;0;0;32
492709;1;12515;11100031;4;0;0;0;0;0;5
492709;1;12579;11100033;3;0;0;0;0;0;1
492709;1;12594;11100033;1;0;0;0;0;0;4
492709;1;12683;11100032;5;0;0;0;0;0;9
497816;1;111;11100033;4;0;0;0;0;0;8
497816;1;125;11100033;1;0;0;0;0;0;49
497816;1;12515;11100031;3;0;0;0;0;0;18
497816;1;12538;11100031;5;0;0;0;0;0;13
497816;1;12579;11100033;6;0;0;0;0;0;7
497816;1;12761;11100032;2;0;0;0;0;0;48
497963;1;2268;11100033;1;0;1;0;0;1;1
498017;9;22155;13100033;1;0;0;1;0;0;5
498017;9;40455;13100033;2;0;0;0;0;0;25
507417;7;11265;71100033;2;0;1;0;0;1;4
507417;7;15632;71100031;1;0;0;0;0;0;3
507813;-1;2457;40100031;2;0;0;0;0;0;31
507813;-1;15593;40100032;1;0;0;0;0;0;16
509492;-1;8108;40100033;1;0;0;0;0;0;2
509492;-1;40423;40100033;2;0;0;0;0;0;6
510385;1;8439;11100031;1;0;0;0;0;0;5
510385;1;24311;11100032;2;0;0;0;0;0;12
513761;9;2378;13100033;2;0;0;0;0;0;2
513761;9;15731;13100033;1;0;0;0;0;0;3
523562;7;519;71100033;1;0;0;0;0;0;2
523562;7;13463;71100031;2;0;0;0;0;0;1
530984;-1;7333;40100033;2;0;0;0;0;0;20
530984;-1;7343;40100032;1;0;0;0;0;0;23
530984;-1;7349;40100033;3;0;0;0;0;0;26
537931;-1;7340;40100031;3;0;0;0;0;0;1
537931;-1;7397;40100031;2;0;0;0;0;0;5
537931;-1;7407;40100031;1;0;0;0;0;0;7
538402;1;8256;11100033;3;1;1;0;0;0; 
538402;1;16950;11100033;2;0;0;0;0;0;1
538402;1;22327;11100033;1;0;0;0;0;0;3
