rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_regular;vacantes_prioritarios;software_aleatorio;habilitado_distancia
7531;7;71100033;110;7;3;0;0;0;0;-40,911533;-73,14402;35;28;28;0;1;1
7534;1;11100033;110;1;3;0;0;0;0;-41,004013;-73,290131;10;10;8;2;1;0
7535;-1;40100031;10;4;1;0;0;0;0;-40,930592;-73,540527;20;19;17;2;1;1
7535;0;50100031;10;5;1;0;0;0;0;-40,930592;-73,540527;20;18;15;3;1;1
7535;1;11100033;110;1;3;0;0;0;0;-40,930592;-73,540527;20;15;15;0;1;1
7535;7;71100033;110;7;3;0;0;0;0;-40,930592;-73,540527;20;17;17;0;1;1
7536;-1;40100031;10;4;1;0;0;0;0;-40,912407;-73,157074;35;0;0;0;2;1
7536;-1;40100032;10;4;2;0;0;0;0;-40,912407;-73,157074;35;0;0;0;2;1
7536;0;50100031;10;5;1;0;0;0;0;-40,912407;-73,157074;44;0;0;0;2;1
7536;0;50100032;10;5;2;0;0;0;0;-40,912407;-73,157074;44;4;4;0;2;1
7536;1;11100031;110;1;1;0;0;0;0;-40,912407;-73,157074;45;0;0;0;2;1
7536;1;11100032;110;1;2;0;0;0;0;-40,912407;-73,157074;45;0;0;0;2;1
7536;7;71100033;110;7;3;0;0;0;0;-40,912407;-73,157074;87;0;0;0;2;1
7536;9;13100033;310;1;3;0;0;0;0;-40,912407;-73,157074;90;0;0;0;2;1
7538;1;11100033;110;1;3;0;0;0;0;-40,891953;-73,849838;5;5;4;1;1;0
7541;-1;40100031;10;4;1;0;0;0;0;-40,791588;-73,217682;38;32;31;1;1;1
7541;0;50100031;10;5;1;0;0;0;0;-40,791588;-73,217682;45;21;21;0;1;1
7541;1;11100033;110;1;3;0;0;0;0;-40,791588;-73,217682;41;11;11;0;1;1
7541;7;71100033;110;7;3;0;0;0;0;-40,791588;-73,217682;38;0;0;0;1;1
7542;9;13100033;310;1;3;0;0;0;0;-40,790031;-73,213387;80;38;38;0;2;1
7543;-1;40100031;10;4;1;0;0;0;0;-40,804649;-73,21373;22;18;17;1;1;1
7543;0;50100031;10;5;1;0;0;0;0;-40,804649;-73,21373;23;13;13;0;1;1
7543;1;11100033;110;1;3;0;0;0;0;-40,804649;-73,21373;45;29;29;0;1;1
7543;7;71100033;110;7;3;0;0;0;0;-40,804649;-73,21373;45;12;12;0;1;1
7544;-1;40100033;10;4;3;0;0;0;0;-40,8228;-73,335945;30;26;25;1;1;1
7544;0;50100033;10;5;3;0;0;0;0;-40,8228;-73,335945;29;16;16;0;1;1
7544;1;11100033;110;1;3;0;0;0;0;-40,8228;-73,335945;17;0;0;0;1;1
7544;7;71100033;110;7;3;0;0;0;0;-40,8228;-73,335945;13;0;0;0;1;1
7544;9;13100033;310;1;3;0;0;0;0;-40,8228;-73,335945;40;6;6;0;1;1
7545;1;11100033;110;1;3;0;0;0;0;-40,80637;-73,444138;14;14;11;3;1;1
7552;1;11100033;110;1;3;0;0;0;0;-40,813206;-72,989273;14;14;11;3;1;0
7557;1;11100033;110;1;3;0;0;0;0;-40,708775;-73,272697;12;12;10;2;1;0
7558;1;11100033;110;1;3;0;0;0;0;-40,697559;-73,172241;20;20;17;3;1;0
7559;1;11100033;110;1;3;0;0;0;0;-40,830498;-73,292603;10;10;8;2;1;0
7563;1;11100033;110;1;3;0;0;0;0;-40,842571;-73,419411;12;12;10;2;1;0
7564;1;11100033;110;1;3;0;0;0;0;-40,715916;-73,216621;14;14;11;3;1;0
7565;1;11100033;110;1;3;0;0;0;0;-40,716473;-73,075829;10;10;8;2;1;0
7566;1;11100033;110;1;3;0;0;0;0;-40,808517;-73,403595;13;13;11;2;1;0
7569;1;11100033;110;1;3;0;0;0;0;-40,708023;-73,789009;14;14;11;3;1;1
7572;-1;40100033;10;4;3;0;0;0;0;-40,803707;-73,216331;70;17;17;0;1;1
7572;0;50100033;10;5;3;0;0;0;0;-40,803707;-73,216331;35;0;0;0;1;1
7572;1;11100033;110;1;3;0;0;0;0;-40,803707;-73,216331;68;0;0;0;1;1
7572;7;71100033;110;7;3;0;0;0;0;-40,803707;-73,216331;40;0;0;0;1;1
7572;9;13100033;310;1;3;0;0;0;0;-40,803707;-73,216331;40;0;0;0;1;1
7573;1;11100033;110;1;3;0;0;0;0;-40,73349;-73,295097;19;19;16;3;1;0
7574;1;11100033;110;1;3;0;0;0;0;-40,665741;-73,325272;13;12;11;1;1;0
7575;1;11100033;110;1;3;0;0;0;0;-40,771297;-73,499542;3;3;2;1;1;0
7578;9;17104133;710;1;3;72007;0;0;0;-40,784878;-73,215919;135;0;0;0;1;1
7580;1;11100033;110;1;3;0;0;0;0;-40,489231;-73,367699;2;2;1;1;1;0
7583;-1;40100033;10;4;3;0;0;0;0;-40,606365;-73,468185;12;7;7;0;1;1
7583;0;50100033;10;5;3;0;0;0;0;-40,606365;-73,468185;5;0;0;0;1;1
7583;1;11100033;110;1;3;0;0;0;0;-40,606365;-73,468185;12;1;1;0;1;1
7583;7;71100033;110;7;3;0;0;0;0;-40,606365;-73,468185;9;0;0;0;1;1
7586;1;11100033;110;1;3;0;0;0;0;-40,671211;-73,515755;10;10;8;2;1;0
7587;1;11100033;110;1;3;0;0;0;0;-40,667679;-73,474464;2;0;0;0;1;0
7588;1;11100033;110;1;3;0;0;0;0;-40,557415;-73,707405;5;3;3;0;1;0
7590;1;11100033;110;1;3;0;0;0;0;-40,630486;-73,521317;5;3;3;0;1;0
7592;1;11100033;110;1;3;0;0;0;0;-40,560253;-73,423317;5;5;4;1;1;0
7593;0;50100033;10;5;3;0;0;0;0;-40,587055;-73,734291;25;17;17;0;1;1
7593;1;11100033;110;1;3;0;0;0;0;-40,587055;-73,734291;25;5;5;0;1;1
7593;7;71100033;110;7;3;0;0;0;0;-40,587055;-73,734291;30;0;0;0;1;1
7596;1;11100033;110;1;3;0;0;0;0;-40,554974;-73,547325;2;2;1;1;1;0
7600;1;11100033;110;1;3;0;0;0;0;-40,506435;-73,443192;10;10;8;2;1;0
7601;1;11100033;110;1;3;0;0;0;0;-40,713104;-73,49855;5;5;4;1;1;0
7601;7;71100033;110;7;3;0;0;0;0;-40,713104;-73,49855;8;6;6;0;1;0
7602;1;11100033;110;1;3;0;0;0;0;-40,488087;-73,520493;30;30;25;5;1;1
7605;1;11100033;110;1;3;0;0;0;0;-40,409424;-73,375954;10;9;8;1;1;0
7606;1;11100033;110;1;3;0;0;0;0;-40,585968;-73,404884;10;10;8;2;1;0
7606;7;71100033;110;7;3;0;0;0;0;-40,585968;-73,404884;8;6;5;1;1;0
7607;1;11100031;110;1;1;0;0;0;0;-40,42944;-73,352654;39;36;33;3;2;0
7607;7;71100031;110;7;1;0;0;0;0;-40,42944;-73,352654;7;5;5;0;2;0
7609;1;11100033;110;1;3;0;0;0;0;-40,536015;-73,486153;5;5;4;1;1;0
7610;1;11100033;110;1;3;0;0;0;0;-40,458561;-73,325264;20;20;17;3;1;0
7610;7;71100033;110;7;3;0;0;0;0;-40,458561;-73,325264;20;14;14;0;1;0
7612;1;11100033;110;1;3;0;0;0;0;-40,446735;-73,463913;5;1;1;0;1;0
7613;1;11100033;110;1;3;0;0;0;0;-40,645412;-73,416779;15;15;12;3;1;1
7613;7;71100033;110;7;3;0;0;0;0;-40,645412;-73,416779;25;13;13;0;1;1
7614;-1;40100033;10;4;3;0;0;0;0;-40,490288;-73,405212;20;19;17;2;1;1
7614;0;50100033;10;5;3;0;0;0;0;-40,490288;-73,405212;20;11;11;0;1;1
7614;1;11100031;110;1;1;0;0;0;0;-40,490288;-73,405212;38;29;29;0;1;1
7614;7;71100031;110;7;1;0;0;0;0;-40,490288;-73,405212;40;22;22;0;1;1
7614;9;13100031;310;1;1;0;0;0;0;-40,490288;-73,405212;70;36;36;0;1;1
7616;1;11100033;110;1;3;0;0;0;0;-40,676411;-73,411346;5;5;4;1;1;0
7617;1;11100033;110;1;3;0;0;0;0;-40,479977;-73,588348;7;4;4;0;1;0
7619;1;11100033;110;1;3;0;0;0;0;-40,4678;-73,326813;5;5;4;1;1;0
