mrun;cod_nivel;rbd_admitido;cod_curso_admitido
226811;12;3886;431000000131
227010;4;24766;411000000132
227123;1;618;111000000133
227639;9;10255;131000000133
228197;4;1700;411000000132
228329;6;17733;611000000131
228665;4;11789;411000000133
228824;11;8997;331000000131
229171;6;26137;611000000133
229424;9;15759;131000000133
229449;7;2014;711000000233
229819;9;10725;131000000133
229871;9; ; 
230840;2;15724;211000000133
230934;2;9104;211000000133
231649;6;10749;611000000133
233041;9;5666;131000000132
233410;6;1305;611000000133
233957;2;8437;211000000133
234061;2;26362;211000000231
234358;2;3554;211000000133
234410;7;14201;711000000133
235146;5;2559;511000000133
235176;7;25525;711000000133
235317;9;2064;131000000133
236031;6;1593;611000000133
236117;9; ; 
236824;6;10253;611000000133
237049;11;9324;331000000133
237174;3;9097;311000000133
237282;5;2416;511000000133
238281;10;12192;231000000133
238392;7;2118;711000000133
238591;4;10167;411000000133
238909;4;10142;411000000131
239155;9;3618;131000000133
239884;12;5218;431000000133
240015;10;25197;231000000133
240748;9;4535;131000000131
241756;9;8505;131000000111
241986;3;9533;311000000132
242226;9;2733;131000000133
242842;10;11199;231000000133
243384;11;7102;361064008133
244192;9;41135;131000000133
244481;3;25089;311000000133
245284;7;10721;711000000133
246076;7;31030;711000000133
247460;2;4578;211000000133
247734;3;24229;311000000133
247775;9;4951;131000000133
248084;11;22464;341041005133
248489;2;40043;211000000132
248505;6;9926;611000000133
248650;9;10832;131000000333
248854;8;10241;811000000133
249192;4;24622;411000000131
249202;9; ; 
249475;9;26168;131000000133
249690;5;40282;511000000133
250772;11;2625;331000000133
250780;9;24444;131000000131
251194;9;5566;131000000133
251232;11;1183;331000000133
251333;3;7637;311000000133
251905;3;40073;311000000133
252574;9;22674;131000000133
253370;1;9861;111000000133
253969;10;9862;231000000133
254376;2;326;211000000133
254553;7;10783;711000000133
255585;11;25220;361063009133
255624;3;25717;311000000131
255798;9;9660;131000000133
255999;9;8507;131000000131
256088;10;1676;231000000133
256480;12;400;431000000133
256566;9;15775;131000000113
256873;9;12961;131000000133
258144;4;11936;411000000133
258263;5;25303;511000000132
258343;1;10207;111000000133
258600;4;26130;411000000133
259327;9;8945;131000000113
259388;1;2736;111000000132
259403;5;336;511000000131
259735;11;40099;361063011133
259763;6;26053;611000000133
260166;7;6562;711000000133
260763;4;2415;411000000131
260801;10;3290;231000000113
261835;5;317;511000000133
262261;7;574;711000000123
263620;3;6816;311000000133
264210;7;7633;711000000133
264382;12;5666;431000000131
265194;9;25197;131000000133
265636;4;40054;411000000133
267768;12;9940;431000000133
268683;1;9085;111000000133
268852;6;4482;611000000133
269166;4;618;411000000133
269929;3;12762;311000000131
270417;7;5150;711000000133
270420;5;26345;511000000133
270930;4;10638;411000000233
272215;7;2021;711000000133
272568;2;10474;211000000131
272829;6;31036;611000000133
273135;9;6348;131000000133
273741;3;22428;311000000133
273985;7;24685;711000000133
274617;9;8495;131000000133
275765;1;239;111000000133
276073;7;8485;711000000132
276408;6;16676;611000000133
276687;12;12650;451054018133
277169;9;22022;131000000133
