mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
6591819;0;8458;10;5;3;8458;10;5
6598007;-1;24318;10;4;5;24318;10;4
6598246;1;8438;110;1;3;8438;110;1
6610428;7;8457;110;7;3;8457;110;7
6613975;1;24311;110;1;5;24311;110;1
6616186;0;8455;10;5;5;8455;10;5
6632471;1;24327;110;1;6;24327;110;1
6646390;0;8455;10;5;5;8455;10;5
6661412;0;8457;10;5;5;8457;10;5
6663213;-1;8457;10;4;5;8457;10;4
6668990;9;24329;310;1;5;24329;310;1
6674193;-1;8434;10;4;7; ; ; 
6688442;1;8438;110;1;5;8438;110;1
6701332;-1;24318;10;4;5;24318;10;4
6705324;0;8458;10;5;5;8458;10;5
6707501;-1;8436;10;4;3;8436;10;4
6711464;1;24319;110;1;5;24319;110;1
6714419;-1;8433;10;4;7; ; ; 
6722410;9;8424;310;1;5;8424;310;1
6723142;-1;24338;10;4;5;24338;10;4
6723837;-1;8412;10;4;5;8412;10;4
6727681;-1;24302;10;4;7; ; ; 
6732676;0;8455;10;5;5;8455;10;5
6734215;-1;24334;10;4;3;24334;10;4
6736217;-1;8454;10;4;3;8454;10;4
6738401;0;8433;10;5;5;8433;10;5
6745273;1;24302;110;1;3;24302;110;1
6746868;0;8444;10;5;3;8444;10;5
6748290;7;8441;110;7;5;8441;110;7
6756660;7;8424;110;7;6;8424;110;7
6764400;9;24316;310;1;5;24316;310;1
6773637;7;8424;110;7;3;8424;110;7
6779199;-1;8442;10;4;5;8442;10;4
6807101;9;24300;310;1;5;24300;310;1
6807970;9;8429;310;1;5;8429;310;1
6818412;9;8425;310;1;5;8425;310;1
6821200;9;8427;310;1;5;8427;310;1
6821234;9;8429;310;1;5;8429;310;1
6826277;1;8475;110;1;5;8475;110;1
6828399;-1;24334;10;4;5;24334;10;4
6832409;9;8429;310;1;5;8429;310;1
6844756;0;8454;10;5;3;8454;10;5
6847161;9;24300;310;1;5;24300;310;1
6866510;9;8429;310;1;5;8429;310;1
6871008;9;8424;310;1;5;8424;310;1
6876820;-1;8458;10;4;5;8458;10;4
6879486;9;8425;310;1;5;8425;310;1
6880995;9;24300;310;1;5;24300;310;1
6894297;9;8424;310;1;5;8424;310;1
6895782;-1;24307;10;4;5;24307;10;4
6904554;-1;24313;10;4;5;24313;10;4
6904898;9;8425;310;1;4; ; ; 
6920426;-1;8436;10;4;5;8436;10;4
6921536;0;8454;10;5;5;8454;10;5
6922814;0;8444;10;5;5;8444;10;5
6927721;9;24316;310;1;5;24316;310;1
