rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
97;11;341041005133;410;3;3;41005;1;0;0;0;-20,220369;-70,153061;40;10;0;0;0;0;10;1;1
97;11;351058034133;510;3;3;58034;1;0;0;0;-20,220369;-70,153061;40;23;0;0;0;0;23;1;1
97;11;381081004133;810;3;3;81004;1;0;0;0;-20,220369;-70,153061;40;15;0;0;0;0;15;1;1
97;12;441041002133;410;4;3;41002;1;0;0;0;-20,220369;-70,153061;36;5;0;0;0;0;5;1;1
97;12;441041005133;410;4;3;41005;1;0;0;0;-20,220369;-70,153061;35;5;0;0;0;0;5;1;1
97;12;451058034133;510;4;3;58034;1;0;0;0;-20,220369;-70,153061;35;23;0;3;0;0;20;1;1
97;12;481081004133;810;4;3;81004;1;0;0;0;-20,220369;-70,153061;35;7;0;0;0;0;7;1;1
106;7;711000000133;110;7;3;0;1;0;0;0;-20,293949;-70,127777;33;29;0;4;0;0;25;1;0
106;8;811000000133;110;8;3;0;1;0;0;0;-20,293949;-70,127777;32;11;0;0;0;0;11;1;0
106;9;131000000133;310;1;3;0;1;0;0;0;-20,293949;-70,127777;128;45;0;0;0;0;45;1;1
106;10;231000000133;310;2;3;0;1;0;0;0;-20,293949;-70,127777;130;65;0;0;0;0;65;1;1
106;11;351052010133;510;3;3;52010;1;0;0;0;-20,293949;-70,127777;34;13;0;0;0;0;13;1;1
106;11;351052013133;510;3;3;52013;1;0;0;0;-20,293949;-70,127777;34;12;0;0;0;0;12;1;1
106;11;351053014133;510;3;3;53014;1;0;0;0;-20,293949;-70,127777;35;22;0;0;0;0;22;1;1
106;11;381081004133;810;3;3;81004;1;0;0;0;-20,293949;-70,127777;34;10;0;0;0;0;10;1;1
106;12;451052010133;510;4;3;52010;1;0;0;0;-20,293949;-70,127777;35;12;0;0;0;0;12;1;1
106;12;451052013133;510;4;3;52013;1;0;0;0;-20,293949;-70,127777;36;3;0;0;0;0;3;1;1
106;12;481081004133;810;4;3;81004;1;0;0;0;-20,293949;-70,127777;35;7;0;0;0;0;7;1;1
107;1;111000000133;110;1;3;0;1;0;0;0;-20,21981;-70,153313;35;28;0;5;0;0;23;1;0
107;2;211000000133;110;2;3;0;1;0;0;0;-20,21981;-70,153313;35;32;0;5;0;0;27;1;0
107;3;311000000133;110;3;3;0;1;0;0;0;-20,21981;-70,153313;35;31;0;5;0;0;26;1;0
107;4;411000000133;110;4;3;0;1;0;0;0;-20,21981;-70,153313;35;20;0;0;0;0;20;1;0
107;5;511000000133;110;5;3;0;1;0;0;0;-20,21981;-70,153313;35;26;0;4;0;0;22;1;0
107;6;611000000133;110;6;3;0;1;0;0;0;-20,21981;-70,153313;35;32;0;5;0;0;27;1;0
107;7;711000000133;110;7;3;0;1;0;0;0;-20,21981;-70,153313;35;32;0;4;0;0;28;1;0
107;8;811000000131;110;8;1;0;1;0;0;0;-20,21981;-70,153313;35;25;0;5;0;0;20;1;0
107;9;131000000133;310;1;3;0;1;0;0;0;-20,21981;-70,153313;175;113;0;3;0;0;110;1;1
107;10;231000000133;310;2;3;0;1;0;0;0;-20,21981;-70,153313;210;97;0;0;0;0;97;1;1
107;11;331000000133;310;3;3;0;1;0;0;0;-20,21981;-70,153313;175;66;0;0;0;0;66;1;1
107;12;431000000133;310;4;3;0;1;0;0;0;-20,21981;-70,153313;175;95;0;0;0;0;95;1;1
108;9;131000000133;310;1;3;0;1;0;0;0;-20,2258;-70,148727;140;42;0;0;0;0;42;1;0
108;10;231000000133;310;2;3;0;1;0;0;0;-20,2258;-70,148727;140;1;0;0;0;0;1;1;1
108;11;351052009133;510;3;3;52009;1;0;0;0;-20,2258;-70,148727;35;20;0;0;0;0;20;1;0
108;11;351052010133;510;3;3;52010;1;0;0;0;-20,2258;-70,148727;35;19;0;0;0;0;19;1;0
108;11;351052013133;510;3;3;52013;1;0;0;0;-20,2258;-70,148727;35;20;0;0;0;0;20;1;0
108;11;351053014133;510;3;3;53014;1;0;0;0;-20,2258;-70,148727;35;20;0;0;0;0;20;1;0
108;11;361061003133;610;3;3;61003;1;0;0;0;-20,2258;-70,148727;35;16;0;0;0;0;16;1;0
108;11;361064001133;610;3;3;64001;1;0;0;0;-20,2258;-70,148727;35;10;0;0;0;0;10;1;0
108;12;451052009133;510;4;3;52009;1;0;0;0;-20,2258;-70,148727;35;26;0;1;0;0;25;1;0
108;12;451052010133;510;4;3;52010;1;0;0;0;-20,2258;-70,148727;43;2;0;0;0;0;2;1;0
108;12;451052013133;510;4;3;52013;1;0;0;0;-20,2258;-70,148727;35;17;0;0;0;0;17;1;0
108;12;451053014133;510;4;3;53014;1;0;0;0;-20,2258;-70,148727;35;27;0;3;0;0;24;1;0
108;12;461061003133;610;4;3;61003;1;0;0;0;-20,2258;-70,148727;35;7;0;0;0;0;7;1;0
108;12;461064001133;610;4;3;64001;1;0;0;0;-20,2258;-70,148727;40;5;0;0;0;0;5;1;0
109;9;131000000133;310;1;3;0;1;0;0;0;-20,216949;-70,153381;70;10;0;0;0;0;10;1;0
109;10;231000000133;310;2;3;0;1;0;0;0;-20,216949;-70,153381;70;13;0;0;0;0;13;1;0
109;11;331000000133;310;3;3;0;1;0;0;0;-20,216949;-70,153381;35;31;0;4;0;0;27;1;0
109;11;341041005133;410;3;3;41005;1;0;0;0;-20,216949;-70,153381;35;15;0;0;0;0;15;1;0
109;11;361063010133;610;3;3;63010;1;0;0;0;-20,216949;-70,153381;35;22;0;0;0;0;22;1;0
109;11;361064001133;610;3;3;64001;1;0;0;0;-20,216949;-70,153381;35;25;0;1;0;0;24;1;0
109;12;441041005133;410;4;3;41005;1;0;0;0;-20,216949;-70,153381;35;16;0;0;0;0;16;1;0
109;12;451056027133;510;4;3;56027;1;0;0;0;-20,216949;-70,153381;35;22;0;0;0;0;22;1;0
109;12;461063010133;610;4;3;63010;1;0;0;0;-20,216949;-70,153381;35;24;0;3;0;0;21;1;0
109;12;461064001133;610;4;3;64001;1;0;0;0;-20,216949;-70,153381;35;13;0;0;0;0;13;1;0
110;-1;401000000133;10;4;3;0;1;0;0;0;-20,21759;-70,146912;70;0;0;0;0;0;0;1;1
110;0;501000000133;10;5;3;0;1;0;0;0;-20,21759;-70,146912;70;0;0;0;0;0;0;1;1
110;1;111000000133;110;1;3;0;1;0;0;0;-20,21759;-70,146912;70;2;0;0;0;0;2;1;1
