rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;tiene_orden_pie;tiene_orden_alta_t
75;1;111000000133;110;1;3;0;1;0;0;0;-18,81953;-69,709549;6;6;0;1;0;0;5;1;0;0
76;1;111000000133;110;1;3;0;1;0;0;0;-19,16044;-70,179573;7;7;0;2;0;0;5;1;0;0
78;-1;401000000133;10;4;3;0;1;0;0;0;-18,19582;-69,561928;16;16;0;3;0;0;13;1;0;0
78;0;501000000133;10;5;3;0;1;0;0;0;-18,19582;-69,561928;18;3;0;0;0;0;3;1;0;0
78;1;111000000133;110;1;3;0;1;0;0;0;-18,19582;-69,561928;18;5;2;0;0;0;3;1;0;0
78;7;711000000133;110;7;3;0;1;0;0;0;-18,19582;-69,561928;38;19;1;0;0;0;18;1;0;0
78;9;131000000133;310;1;3;0;1;0;0;0;-18,19582;-69,561928;38;21;0;0;0;0;21;1;0;0
79;1;111000000133;110;1;3;0;1;0;0;0;-18,580721;-69,493759;25;25;0;4;0;0;21;1;0;0
79;7;711000000133;110;7;3;0;1;0;0;0;-18,580721;-69,493759;25;22;2;3;0;0;17;1;0;0
81;1;111000000133;110;1;3;0;1;0;0;0;-18,054399;-69,201012;3;3;0;1;0;0;2;1;0;0
82;1;111000000133;110;1;3;0;1;0;0;0;-18,26881;-69,597023;3;3;0;1;0;0;2;1;0;0
83;1;111000000133;110;1;3;0;1;0;0;0;-18,200001;-69,266701;3;3;0;1;0;0;2;1;0;0
84;1;111000000133;110;1;3;0;1;0;0;0;-18,19635;-69,559219;3;3;0;1;0;0;2;1;0;0
86;1;111000000133;110;1;3;0;1;0;0;0;-18,467779;-69,514893;6;6;0;1;0;0;5;1;0;0
87;1;111000000133;110;1;3;0;1;0;0;0;-17,854719;-69,606133;5;5;0;1;0;0;4;1;0;0
88;1;111000000133;110;1;3;0;1;0;0;0;-17,994341;-69,705887;5;5;0;1;0;0;4;1;0;0
89;1;111000000133;110;1;3;0;1;0;0;0;-17,834391;-69,702782;5;5;0;1;0;0;4;1;0;0
90;1;111000000133;110;1;3;0;1;0;0;0;-17,594879;-69,481163;5;4;0;1;0;0;3;1;0;0
90;7;711000000133;110;7;3;0;1;0;0;0;-17,594879;-69,481163;13;11;0;0;0;0;11;1;0;0
91;1;111000000133;110;1;3;0;1;0;0;0;-17,76635;-69,421242;5;5;0;1;0;0;4;1;0;0
92;1;111000000133;110;1;3;0;1;0;0;0;-17,69677;-69,688301;5;5;0;1;0;0;4;1;0;0
93;1;111000000133;110;1;3;0;1;0;0;0;-17,89942;-69,349213;5;5;0;1;0;0;4;1;0;0
94;1;111000000133;110;1;3;0;1;0;0;0;-17,76013;-69,344948;5;5;0;1;0;0;4;1;0;0
95;1;111000000133;110;1;3;0;1;0;0;0;-17,95694;-69,453629;5;5;0;1;0;0;4;1;0;0
97;9;131000000133;310;1;3;0;1;0;0;0;-20,220369;-70,153061;120;111;0;18;0;0;93;1;0;0
97;10;231000000133;310;2;3;0;1;0;0;0;-20,220369;-70,153061;120;43;0;0;0;0;43;1;0;0
97;11;341041002133;410;3;3;41002;1;0;0;0;-20,220369;-70,153061;40;25;0;0;0;0;25;1;0;0
97;11;341041005133;410;3;3;41005;1;0;0;0;-20,220369;-70,153061;40;11;0;0;0;0;11;1;0;0
97;11;351058034133;510;3;3;58034;1;0;0;0;-20,220369;-70,153061;40;25;0;0;0;0;25;1;0;0
97;11;381081004133;810;3;3;81004;1;0;0;0;-20,220369;-70,153061;40;19;0;0;0;0;19;1;0;0
97;12;441041002133;410;4;3;41002;1;0;0;0;-20,220369;-70,153061;36;5;0;0;0;0;5;1;0;0
97;12;441041005133;410;4;3;41005;1;0;0;0;-20,220369;-70,153061;35;6;0;0;0;0;6;1;0;0
97;12;451058034133;510;4;3;58034;1;0;0;0;-20,220369;-70,153061;35;23;0;3;0;0;20;1;0;0
97;12;481081004133;810;4;3;81004;1;0;0;0;-20,220369;-70,153061;35;7;0;0;0;0;7;1;0;0
106;7;711000000133;110;7;3;0;1;0;0;0;-20,293949;-70,127777;33;31;0;5;0;0;26;1;0;0
106;8;811000000133;110;8;3;0;1;0;0;0;-20,293949;-70,127777;32;18;0;0;0;0;18;1;0;0
106;9;131000000133;310;1;3;0;1;0;0;0;-20,293949;-70,127777;128;101;0;6;0;0;95;1;0;0
106;10;231000000133;310;2;3;0;1;0;0;0;-20,293949;-70,127777;130;71;0;0;0;0;71;1;0;0
106;11;351052010133;510;3;3;52010;1;0;0;0;-20,293949;-70,127777;34;18;0;0;0;0;18;1;0;0
106;11;351052013133;510;3;3;52013;1;0;0;0;-20,293949;-70,127777;34;17;0;0;0;0;17;1;0;0
106;11;351053014133;510;3;3;53014;1;0;0;0;-20,293949;-70,127777;35;22;0;0;0;0;22;1;0;0
106;11;381081004133;810;3;3;81004;1;0;0;0;-20,293949;-70,127777;34;16;0;0;0;0;16;1;0;0
106;12;451052010133;510;4;3;52010;1;0;0;0;-20,293949;-70,127777;35;12;0;0;0;0;12;1;0;0
